Relatório de filme
-------------------
QuadroQuadro #    Quadro Bytes    Total Bytes    Página
 1168            10        2669813          62
 1169            10        2669823          63
 1170            10        2669833          64
 1171            17        2669850          65
 1172             2        2669852          66
 1173             2        2669854          67
 1174            11        2669865          68
 1175             2        2669867          69
 1176           179        2670046          70
 1177            28        2670074          71
 1178            28        2670102          72
 1179            28        2670130          73
 1180            28        2670158          74
 1181            28        2670186          75
 1182            29        2670215          76
 1183            29        2670244          77
 1184            29        2670273          78
 1185            29        2670302          79
 1186            29        2670331          80
 1187            29        2670360          81
 1188            29        2670389          82
 1189            29        2670418          83
 1190            29        2670447          84
 1191            28        2670475          85
 1192            28        2670503          86
 1193            28        2670531          87
 1194            28        2670559          88
 1195            28        2670587          89
 1196            24        2670611          90
 1197            18        2670629          91
 1198           237        2670866          92
 1199            25        2670891          93
 1200            24        2670915          94
 1201            63        2670978          95
 1202             9        2670987          96
 1203             9        2670996          97
 1204             9        2671005          98
 1205             9        2671014          99
 1206             9        2671023          100
 1207           941        2671964          101
 1208           685        2672649        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 9
 1209            17        2672666          2
 1210            17        2672683          3
 1211            17        2672700          4
 1212            33        2672733          5
 1213            31        2672764          6
 1214            31        2672795          7
 1215            30        2672825          8
 1216            30        2672855          9
 1217           897        2673752          10
 1218            40        2673792          11
 1219            38        2673830          12
 1220            38        2673868          13
 1221            75        2673943          14
 1222            59        2674002          15
 1223            59        2674061          16
 1224            59        2674120          17
 1225            59        2674179          18
 1226            59        2674238          19
 1227          1142        2675380          20
 1228            16        2675396          21
 1229            16        2675412          22
 1230           300        2675712          23
 1231             9        2675721          24
 1232             9        2675730          25
 1233            14        2675744          26
 1234             2        2675746          27
 1235             2        2675748          28
 1236             2        2675750          29
 1237             2        2675752          30
 1238             2        2675754          31
 1239             2        2675756          32
 1240             2        2675758          33
 1241             2        2675760          34
 1242           338        2676098          35
 1243             9        2676107          36
 1244             9        2676116          37
 1245             9        2676125          38
 1246             9        2676134          39
 1247             9        2676143          40
 1248             9        2676152          41
 1249             9        2676161          42
 1250             9        2676170          43
 1251             9        2676179          44
 1252             9        2676188          45
 1253             9        2676197          46
 1254             9        2676206          47
 1255             9        2676215          48
 1256             9        2676224          49
 1257           243        2676467          50
 1258            11        2676478          51
 1259            11        2676489          52
 1260            11        2676500          53
 1261            11        2676511          54
 1262            11        2676522          55
 1263            11        2676533          56
 1264            11        2676544          57
 1265            11        2676555          58
 1266            11        2676566          59
 1267            11        2676577          60
 1268            11        2676588          61
 1269            10        2676598          62
 1270            10        2676608          63
 1271            10        2676618          64
 1272            17        2676635          65
 1273             2        2676637          66
 1274             2        2676639          67
 1275            11        2676650          68
 1276             2        2676652          69
 1277           179        2676831          70
 1278            28        2676859          71
 1279            28        2676887          72
 1280            28        2676915          73
 1281            28        2676943          74
 1282            28        2676971          75
 1283            29        2677000          76
 1284            29        2677029          77
 1285            29        2677058          78
 1286            29        2677087          79
 1287            29        2677116          80
 1288            29        2677145          81
 1289            29        2677174          82
 1290            29        2677203          83
 1291            29        2677232          84
 1292            28        2677260          85
 1293            28        2677288          86
 1294            28        2677316          87
 1295            28        2677344          88
 1296            28        2677372          89
 1297            24        2677396          90
 1298            18        2677414          91
 1299           237        2677651          92
 1300            25        2677676          93
 1301            24        2677700          94
 1302            63        2677763          95
 1303             9        2677772          96
 1304             9        2677781          97
 1305             9        2677790          98
 1306             9        2677799          99
 1307             9        2677808          100
 1308           942        2678750          101
 1309           679        2679429        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 10
 1310            17        2679446          2
 1311            17        2679463          3
 1312            17        2679480          4
 1313            33        2679513          5
 1314            31        2679544          6
 1315            31        2679575          7
 1316            30        2679605          8
 1317            30        2679635          9
 1318           897        2680532          10
 1319            40        2680572          11
 1320            38        2680610          12
 1321            38        2680648          13
 1322            75        2680723          14
 1323            59        2680782          15
 1324            59        2680841          16
 1325            59        2680900          17
 1326            59        2680959          18
 1327            59        2681018          19
 1328          1035        2682053          20
 1329            16        2682069          21
 1330            16        2682085          22
 1331           241        2682326          23
 1332             9        2682335          24
 1333             9        2682344          25
 1334            14        2682358          26
 1335             2        2682360          27
 1336             2        2682362          28
 1337             2        2682364          29
 1338             2        2682366          30
 1339             2        2682368          31
 1340             2        2682370          32
 1341             2        2682372          33
 1342             2        2682374          34
 1343           338        2682712          35
 1344             9        2682721          36
 1345             9        2682730          37
 1346             9        2682739          38
 1347             9        2682748          39
 1348             9        2682757          40
 1349             9        2682766          41
 1350             9        2682775          42
 1351             9        2682784          43
 1352             9        2682793          44
 1353             9        2682802          45
 1354             9        2682811          46
 1355             9        2682820          47
 1356             9        2682829          48
 1357             9        2682838          49
 1358           243        2683081          50
 1359            11        2683092          51
 1360            11        2683103          52
 1361            11        2683114          53
 1362            11        2683125          54
 1363            11        2683136          55
 1364            11        2683147          56
 1365            11        2683158          57
 1366            11        2683169          58
 1367            11        2683180          59
 1368            11        2683191          60
 1369            11        2683202          61
 1370            10        2683212          62
 1371            10        2683222          63
 1372            10        2683232          64
 1373            17        2683249          65
 1374             2        2683251          66
 1375             2        2683253          67
 1376            11        2683264          68
 1377             2        2683266          69
 1378           179        2683445          70
 1379            28        2683473          71
 1380            28        2683501          72
 1381            28        2683529          73
 1382            28        2683557          74
 1383            28        2683585          75
 1384            29        2683614          76
 1385            29        2683643          77
 1386            29        2683672          78
 1387            29        2683701          79
 1388            29        2683730          80
 1389            29        2683759          81
 1390            29        2683788          82
 1391            29        2683817          83
 1392            29        2683846          84
 1393            28        2683874          85
 1394            28        2683902          86
 1395            28        2683930          87
 1396            28        2683958          88
 1397            28        2683986          89
 1398            24        2684010          90
 1399            18        2684028          91
 1400           237        2684265          92
 1401            25        2684290          93
 1402            24        2684314          94
 1403            63        2684377          95
 1404             9        2684386          96
 1405             9        2684395          97
 1406             9        2684404          98
 1407             9        2684413          99
 1408             9        2684422          100
 1409           942        2685364          101
 1410           679        2686043        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 11
 1411            17        2686060          2
 1412            17        2686077          3
 1413            17        2686094          4
 1414            33        2686127          5
 1415            31        2686158          6
 1416            31        2686189          7
 1417            30        2686219          8
 1418            30        2686249          9
 1419           897        2687146          10
 1420            40        2687186          11
 1421            38        2687224          12
 1422            38        2687262          13
 1423            75        2687337          14
 1424            59        2687396          15
 1425            59        2687455          16
 1426            59        2687514          17
 1427            59        2687573          18
 1428            59        2687632          19
 1429          1123        2688755          20
 1430            16        2688771          21
 1431            16        2688787          22
 1432           286        2689073          23
 1433             9        2689082          24
 1434             9        2689091          25
 1435            14        2689105          26
 1436             2        2689107          27
 1437             2        2689109          28
 1438             2        2689111          29
 1439             2        2689113          30
 1440             2        2689115          31
 1441             2        2689117          32
 1442             2        2689119          33
 1443             2        2689121          34
 1444           338        2689459          35
 1445             9        2689468          36
 1446             9        2689477          37
 1447             9        2689486          38
 1448             9        2689495          39
 1449             9        2689504          40
 1450             9        2689513          41
 1451             9        2689522          42
 1452             9        2689531          43
 1453             9        2689540          44
 1454             9        2689549          45
 1455             9        2689558          46
 1456             9        2689567          47
 1457             9        2689576          48
 1458             9        2689585          49
 1459           243        2689828          50
 1460            11        2689839          51
 1461            11        2689850          52
 1462            11        2689861          53
 1463            11        2689872          54
 1464            11        2689883          55
 1465            11        2689894          56
 1466            11        2689905          57
 1467            11        2689916          58
 1468            11        2689927          59
 1469            11        2689938          60
 1470            11        2689949          61
 1471            10        2689959          62
 1472            10        2689969          63
 1473            10        2689979          64
 1474            17        2689996          65
 1475             2        2689998          66
 1476             2        2690000          67
 1477            11        2690011          68
 1478             2        2690013          69
 1479           179        2690192          70
 1480            28        2690220          71
 1481            28        2690248          72
 1482            28        2690276          73
 1483            28        2690304          74
 1484            28        2690332          75
 1485            29        2690361          76
 1486            29        2690390          77
 1487            29        2690419          78
 1488            29        2690448          79
 1489            29        2690477          80
 1490            29        2690506          81
 1491            29        2690535          82
 1492            29        2690564          83
 1493            29        2690593          84
 1494            28        2690621          85
 1495            28        2690649          86
 1496            28        2690677          87
 1497            28        2690705          88
 1498            28        2690733          89
 1499            24        2690757          90
 1500            18        2690775          91
 1501           237        2691012          92
 1502            25        2691037          93
 1503            24        2691061          94
 1504            63        2691124          95
 1505             9        2691133          96
 1506             9        2691142          97
 1507             9        2691151          98
 1508             9        2691160          99
 1509             9        2691169          100
 1510           942        2692111          101

Página                       Forma Bytes    Texto Bytes
-------------------------    -----------    -----------
Cena 35                           0             0
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s)      313             0
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s) copiado(s)      402             0
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s) 1       47           492
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s)      727            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10      191            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 1      240            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 2      573            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 3      203            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 4      250            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 5      274            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 6      200            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 7      297            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 8      274            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 9      279            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 10      220            47
Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 11     1362           775

Objetos incorporados           3903             0

Página                       Símbolo Bytes    Texto Bytes
-------------------------    -------------    -----------
Símbolo 90                        0             0
Símbolo 89                        0            94
Símbolo 88                        0           204
Clipe Simbolo5                    0             0
Clipe Simbolo4                    0             0
Clipe Simbolo3                    0             0
Clippe Simbolo2                  42             0
Clipe Simbolo 1                   0             0
Tecido 12                         0             0
Tecido 11                         0             0
Tecido 10                         0             0
Tecido 9                          0             0
Tecido 8                          0             0
Tecido 7                          0             0
Tecido 6                          0             0
Tecido 5                          0             0
Tecido 4                          0             0
Tecido 3                          0             0
Tecido 2                          0             0
Tecido 1                          0             0
Símbolo 8                        42             0
Símbolo 4                         0             0
Símbolo 3                         0             0
Símbolo 2                         0             0
Símbolo 1                         0             0
grey area                        40             0
button - previous               263             0
button - next                   275             0

Bitmap                     Compactado    Compactação
-----------------------    ----------  --------  -----------
Bitmap 45                      14962      930180   Qualidade do JPEG=100
Bitmap 48                       1684       12524   =100
Bitmap 49                       1380       12524   =100
Bitmap 57                       1624       32000   =100
Bitmap 58                        494        3844   =100
Bitmap 59                        568        6724   =100
Bitmap 60                       1021        6724   =100
Bitmap 63                       3716       25284   =100
Bitmap 80                      10355     1394688   =100
Bitmap 81                      11971      954484   =100
Bitmap 86                     552729     5046552   =100
Bitmap 87                     591717     5046552   =100
Bitmap 95                     565651     5076080   =100
Bitmap 88                     599348     5046552   =100

Formas interpoladas: 29716 bytes

Sons de evento: 44KHz Mono 128 kbps MP3

Nome do som                 Bytes        Formatar    
------------------------    ---------    ------------
AWARGLIS.fmp3               20865        44KHz Mono 128 kbps MP3
batecao                      9189        44KHz Mono 128 kbps MP3
testendo                   188499        44KHz Mono 128 kbps MP3
duck.fmp3                    1055        22KHz Mono 128 kbps MP3
kiss.fmp3                    1705        22KHz Mono 128 kbps MP3
whizpop.fmp3                 1185        22KHz Mono 128 kbps MP3


Nome do som                 Bytes        Formatar    
------------------------    ---------    ------------
Arial Negrito                1074        0123456789
Arial Black                  2402        .@ACDEIMNOPRSTUabcdefimnorstz
Arial Black Negrito          3891         ()-./012345789:@ACDEFHILNOPRSTWabcdefghilmnoprstwxz
